FullStreetName,StreetName,StreetType,PostDirection
01ST ST,01ST,ST,
01ST TI ST,01ST TI,ST,
02ND AVE,02ND,AVE,
02ND ST,02ND,ST,
02ND TI ST,02ND TI,ST,
03RD AVE,03RD,AVE,
03RD ST,03RD,ST,
03RD TI ST,03RD TI,ST,
04TH AVE,04TH,AVE,
04TH ST,04TH,ST,
04TH TI ST,04TH TI,ST,
05TH AVE,05TH,AVE,
05TH ST,05TH,ST,
05TH TI ST,05TH TI,ST,
06TH AVE,06TH,AVE,
06TH ST,06TH,ST,
06TH HP AVE,06TH HP,AVE,
06TH TI ST,06TH TI,ST,
07TH AVE,07TH,AVE,
07TH ST,07TH,ST,
08TH AVE,08TH,AVE,
08TH ST,08TH,ST,
08TH TI ST,08TH TI,ST,
09TH AVE,09TH,AVE,
09TH ST,09TH,ST,
09TH TI ST,09TH TI,ST,
10TH AVE,10TH,AVE,
10TH ST,10TH,ST,
10TH TI ST,10TH TI,ST,
11TH AVE,11TH,AVE,
11TH ST,11TH,ST,
11TH TI ST,11TH TI,ST,
12TH AVE,12TH,AVE,
12TH ST,12TH,ST,
12TH TI ST,12TH TI,ST,
13TH ST,13TH,ST,
13TH TI ST,13TH TI,ST,
14TH AVE,14TH,AVE,
14TH ST,14TH,ST,
14TH TI ST,14TH TI,ST,
15TH AVE,15TH,AVE,
15TH ST,15TH,ST,
16TH AVE,16TH,AVE,
16TH ST,16TH,ST,
17TH AVE,17TH,AVE,
17TH ST,17TH,ST,
18TH AVE,18TH,AVE,
18TH ST,18TH,ST,
19TH AVE,19TH,AVE,
19TH ST,19TH,ST,
20TH AVE,20TH,AVE,
20TH ST,20TH,ST,
21ST AVE,21ST,AVE,
21ST ST,21ST,ST,
22ND AVE,22ND,AVE,
22ND ST,22ND,ST,
23RD AVE,23RD,AVE,
23RD ST,23RD,ST,
24TH AVE,24TH,AVE,
24TH ST,24TH,ST,
25TH AVE,25TH,AVE,
EARL GAGE JR ST,EARL GAGE JR,ST,
25TH ST,25TH,ST,
26TH AVE,26TH,AVE,
26TH ST,26TH,ST,
27TH AVE,27TH,AVE,
27TH ST,27TH,ST,
28TH AVE,28TH,AVE,
28TH ST,28TH,ST,
29TH AVE,29TH,AVE,
29TH ST,29TH,ST,
30TH AVE,30TH,AVE,
30TH ST,30TH,ST,
31ST AVE,31ST,AVE,
31ST ST,31ST,ST,
32ND AVE,32ND,AVE,
33RD AVE,33RD,AVE,
34TH AVE,34TH,AVE,
35TH AVE,35TH,AVE,
36TH AVE,36TH,AVE,
37TH AVE,37TH,AVE,
38TH AVE,38TH,AVE,
39TH AVE,39TH,AVE,
40TH AVE,40TH,AVE,
41ST AVE,41ST,AVE,
42ND AVE,42ND,AVE,
43RD AVE,43RD,AVE,
44TH AVE,44TH,AVE,
45TH AVE,45TH,AVE,
46TH AVE,46TH,AVE,
47TH AVE,47TH,AVE,
48TH AVE,48TH,AVE,
A ST,A,ST,
ABBEY ST,ABBEY,ST,
ACACIA AVE,ACACIA,AVE,
ACACIA ST,ACACIA,ST,
ACADIA ST,ACADIA,ST,
ACEVEDO AVE,ACEVEDO,AVE,
ACME ALY,ACME,ALY,
ACORN ALY,ACORN,ALY,
ACTON ST,ACTON,ST,
ADA CT,ADA,CT,
ADAIR ST,ADAIR,ST,
ADAM ST,ADAM,ST,
ADDISON ST,ADDISON,ST,
ADELE CT,ADELE,CT,
ADMIRAL AVE,ADMIRAL,AVE,
ADOLPH SUTRO CT,ADOLPH SUTRO,CT,
AERIAL WAY,AERIAL,WAY,
AGNON AVE,AGNON,AVE,
AGUA WAY,AGUA,WAY,
AHERN WAY,AHERN,WAY,
ALABAMA ST,ALABAMA,ST,
ALADDIN TER,ALADDIN,TER,
ALAMEDA ST,ALAMEDA,ST,
ALANA WAY,ALANA,WAY,
ALBATROSS CT,ALBATROSS,CT,
ALBERTA ST,ALBERTA,ST,
ALBION ST,ALBION,ST,
ALDER ST,ALDER,ST,
ALEMANY BLVD,ALEMANY,BLVD,
ALEMANY BLVD OFF RAMP,ALEMANY BLVD OFF,RAMP,
ALERT ALY,ALERT,ALY,
ALHAMBRA ST,ALHAMBRA,ST,
